"class","identity","core.name","com.infa.ldm.relational.Datatype","com.infa.ldm.relational.DatatypeLength","com.infa.ldm.relational.Position","core.dataSetUuid"
"com.infa.ldm.relational.Column","denodo_vdp/policy_asset/bv_sz_dw_xle_t_d_xle_date/date_key_dt","date_key_dt","DATE","10","1","denodo_vdp/policy_asset/bv_sz_dw_xle_t_d_xle_date"
"com.infa.ldm.relational.Column","denodo_vdp/policy_asset/bv_sz_dw_xle_t_d_xle_date/date_descr","date_descr","CHAR","23","2","denodo_vdp/policy_asset/bv_sz_dw_xle_t_d_xle_date"
"com.infa.ldm.relational.Column","denodo_vdp/policy_asset/bv_sz_dw_xle_t_d_xle_date/date_holiday_ind","date_holiday_ind","CHAR","1","3","denodo_vdp/policy_asset/bv_sz_dw_xle_t_d_xle_date"
"com.infa.ldm.relational.Column","denodo_vdp/policy_asset/bv_sz_dw_xle_t_d_xle_date/date_weekend_ind","date_weekend_ind","CHAR","1","4","denodo_vdp/policy_asset/bv_sz_dw_xle_t_d_xle_date"
"com.infa.ldm.relational.Column","denodo_vdp/policy_asset/bv_sz_dw_xle_t_d_xle_date/date_day_of_week_nme","date_day_of_week_nme","VARCHAR","9","5","denodo_vdp/policy_asset/bv_sz_dw_xle_t_d_xle_date"
"com.infa.ldm.relational.Column","denodo_vdp/policy_asset/bv_sz_dw_xle_t_d_xle_date/date_day_of_week","date_day_of_week","TINYINT","3","6","denodo_vdp/policy_asset/bv_sz_dw_xle_t_d_xle_date"
"com.infa.ldm.relational.Column","denodo_vdp/policy_asset/bv_sz_dw_xle_t_d_xle_date/date_day_of_month","date_day_of_month","TINYINT","3","7","denodo_vdp/policy_asset/bv_sz_dw_xle_t_d_xle_date"
"com.infa.ldm.relational.Column","denodo_vdp/policy_asset/bv_sz_dw_xle_t_d_xle_date/date_day_of_year","date_day_of_year","SMALLINT","5","8","denodo_vdp/policy_asset/bv_sz_dw_xle_t_d_xle_date"
"com.infa.ldm.relational.Column","denodo_vdp/policy_asset/bv_sz_dw_xle_t_d_xle_date/date_month","date_month","TINYINT","3","9","denodo_vdp/policy_asset/bv_sz_dw_xle_t_d_xle_date"
"com.infa.ldm.relational.Column","denodo_vdp/policy_asset/bv_sz_dw_xle_t_d_xle_date/date_month_nme","date_month_nme","VARCHAR","9","10","denodo_vdp/policy_asset/bv_sz_dw_xle_t_d_xle_date"
"com.infa.ldm.relational.Column","denodo_vdp/policy_asset/bv_sz_dw_xle_t_d_xle_date/date_quarter","date_quarter","TINYINT","3","11","denodo_vdp/policy_asset/bv_sz_dw_xle_t_d_xle_date"
"com.infa.ldm.relational.Column","denodo_vdp/policy_asset/bv_sz_dw_xle_t_d_xle_date/date_quarter_nme","date_quarter_nme","CHAR","2","12","denodo_vdp/policy_asset/bv_sz_dw_xle_t_d_xle_date"
"com.infa.ldm.relational.Column","denodo_vdp/policy_asset/bv_sz_dw_xle_t_d_xle_date/date_week_of_year","date_week_of_year","TINYINT","3","13","denodo_vdp/policy_asset/bv_sz_dw_xle_t_d_xle_date"
"com.infa.ldm.relational.Column","denodo_vdp/policy_asset/bv_sz_dw_xle_t_d_xle_date/date_year","date_year","SMALLINT","5","14","denodo_vdp/policy_asset/bv_sz_dw_xle_t_d_xle_date"
"com.infa.ldm.relational.Column","denodo_vdp/policy_asset/bv_sz_dw_xle_t_d_xle_date/date_year_week_nme","date_year_week_nme","VARCHAR","8","15","denodo_vdp/policy_asset/bv_sz_dw_xle_t_d_xle_date"
"com.infa.ldm.relational.Column","denodo_vdp/policy_asset/bv_sz_dw_xle_t_d_xle_date/date_year_month_nme","date_year_month_nme","VARCHAR","14","16","denodo_vdp/policy_asset/bv_sz_dw_xle_t_d_xle_date"
