"association","fromObjectIdentity","toObjectIdentity"
"core.ResourceParentChild","","denodo_vdp"
"com.infa.ldm.relational.DatabaseSchema","denodo_vdp","denodo_vdp/policy_asset"
"com.infa.ldm.relational.SchemaTable","denodo_vdp/policy_asset","denodo_vdp/policy_asset/bv_sz_dw_xle_t_d_xle_date"
"com.infa.ldm.relational.TableColumn","denodo_vdp/policy_asset/bv_sz_dw_xle_t_d_xle_date","denodo_vdp/policy_asset/bv_sz_dw_xle_t_d_xle_date/date_key_dt"
"com.infa.ldm.relational.TableColumn","denodo_vdp/policy_asset/bv_sz_dw_xle_t_d_xle_date","denodo_vdp/policy_asset/bv_sz_dw_xle_t_d_xle_date/date_descr"
"com.infa.ldm.relational.TableColumn","denodo_vdp/policy_asset/bv_sz_dw_xle_t_d_xle_date","denodo_vdp/policy_asset/bv_sz_dw_xle_t_d_xle_date/date_holiday_ind"
"com.infa.ldm.relational.TableColumn","denodo_vdp/policy_asset/bv_sz_dw_xle_t_d_xle_date","denodo_vdp/policy_asset/bv_sz_dw_xle_t_d_xle_date/date_weekend_ind"
"com.infa.ldm.relational.TableColumn","denodo_vdp/policy_asset/bv_sz_dw_xle_t_d_xle_date","denodo_vdp/policy_asset/bv_sz_dw_xle_t_d_xle_date/date_day_of_week_nme"
"com.infa.ldm.relational.TableColumn","denodo_vdp/policy_asset/bv_sz_dw_xle_t_d_xle_date","denodo_vdp/policy_asset/bv_sz_dw_xle_t_d_xle_date/date_day_of_week"
"com.infa.ldm.relational.TableColumn","denodo_vdp/policy_asset/bv_sz_dw_xle_t_d_xle_date","denodo_vdp/policy_asset/bv_sz_dw_xle_t_d_xle_date/date_day_of_month"
"com.infa.ldm.relational.TableColumn","denodo_vdp/policy_asset/bv_sz_dw_xle_t_d_xle_date","denodo_vdp/policy_asset/bv_sz_dw_xle_t_d_xle_date/date_day_of_year"
"com.infa.ldm.relational.TableColumn","denodo_vdp/policy_asset/bv_sz_dw_xle_t_d_xle_date","denodo_vdp/policy_asset/bv_sz_dw_xle_t_d_xle_date/date_month"
"com.infa.ldm.relational.TableColumn","denodo_vdp/policy_asset/bv_sz_dw_xle_t_d_xle_date","denodo_vdp/policy_asset/bv_sz_dw_xle_t_d_xle_date/date_month_nme"
