"association","From Connection","To Connection","From Object","To Object"
"","sakila_vdb.mysql_sakila","denodo_vdp","sakila/address/address_id","sakila_vdb/address/address_id"
"","sakila_vdb.mysql_sakila","denodo_vdp","sakila/address/address","sakila_vdb/address/address"
"","sakila_vdb.mysql_sakila","denodo_vdp","sakila/address/address2","sakila_vdb/address/address2"
"","sakila_vdb.mysql_sakila","denodo_vdp","sakila/address/district","sakila_vdb/address/district"
"","sakila_vdb.mysql_sakila","denodo_vdp","sakila/address/city_id","sakila_vdb/address/city_id"
"","sakila_vdb.mysql_sakila","denodo_vdp","sakila/address/postal_code","sakila_vdb/address/postal_code"
"","sakila_vdb.mysql_sakila","denodo_vdp","sakila/address/phone","sakila_vdb/address/phone"
"","sakila_vdb.mysql_sakila","denodo_vdp","sakila/address/location","sakila_vdb/address/location"
"","sakila_vdb.mysql_sakila","denodo_vdp","sakila/address/last_update","sakila_vdb/address/last_update"
"","sakila_vdb.mysql_sakila","denodo_vdp","sakila/city/city_id","sakila_vdb/city/city_id"
"","sakila_vdb.mysql_sakila","denodo_vdp","sakila/city/city","sakila_vdb/city/city"
"","sakila_vdb.mysql_sakila","denodo_vdp","sakila/city/country_id","sakila_vdb/city/country_id"
"","sakila_vdb.mysql_sakila","denodo_vdp","sakila/city/last_update","sakila_vdb/city/last_update"
"","sakila_vdb.mysql_sakila","denodo_vdp","sakila/country/country_id","sakila_vdb/country/country_id"
"","sakila_vdb.mysql_sakila","denodo_vdp","sakila/country/country","sakila_vdb/country/country"
"","sakila_vdb.mysql_sakila","denodo_vdp","sakila/country/last_update","sakila_vdb/country/last_update"
"","sakila_vdb.mysql_sakila","denodo_vdp","sakila/customer/customer_id","sakila_vdb/sakila_customer/customer_id"
"","sakila_vdb.mysql_sakila","denodo_vdp","sakila/customer/store_id","sakila_vdb/sakila_customer/store_id"
"","sakila_vdb.mysql_sakila","denodo_vdp","sakila/customer/first_name","sakila_vdb/sakila_customer/first_name"
"","sakila_vdb.mysql_sakila","denodo_vdp","sakila/customer/last_name","sakila_vdb/sakila_customer/last_name"
"","sakila_vdb.mysql_sakila","denodo_vdp","sakila/customer/email","sakila_vdb/sakila_customer/email"
"","sakila_vdb.mysql_sakila","denodo_vdp","sakila/customer/address_id","sakila_vdb/sakila_customer/address_id"
"","sakila_vdb.mysql_sakila","denodo_vdp","sakila/customer/active","sakila_vdb/sakila_customer/active"
"","sakila_vdb.mysql_sakila","denodo_vdp","sakila/customer/create_date","sakila_vdb/sakila_customer/create_date"
"","sakila_vdb.mysql_sakila","denodo_vdp","sakila/customer/last_update","sakila_vdb/sakila_customer/last_update"
"","ds_azure_sql_dw_strategicdev","denodo_vdp","dbo/t_d_xle_location/loc_key","policy_asset/bv_sz_dw_xle_t_d_xle_location/loc_key"
"","ds_azure_sql_dw_strategicdev","denodo_vdp","dbo/t_d_xle_location/loc_id","policy_asset/bv_sz_dw_xle_t_d_xle_location/loc_id"
"","ds_azure_sql_dw_strategicdev","denodo_vdp","dbo/t_d_xle_location/loc_hashnk","policy_asset/bv_sz_dw_xle_t_d_xle_location/loc_hashnk"
