"association","fromObjectIdentity","toObjectIdentity"
"com.ldm.custom.swaggerapiv2.TagEndpoint","Google_Abusive_Experience_Report/violatingSites","Google_Abusive_Experience_Report/violatingSites/_GET___v1_violatingSites"
"com.ldm.custom.swaggerapiv2.EndpointParameter","Google_Abusive_Experience_Report/violatingSites/_GET___v1_violatingSites","Google_Abusive_Experience_Report/violatingSites/_GET___v1_violatingSites/$.xgafv"
"com.ldm.custom.swaggerapiv2.EndpointParameter","Google_Abusive_Experience_Report/violatingSites/_GET___v1_violatingSites","Google_Abusive_Experience_Report/violatingSites/_GET___v1_violatingSites/access_token"
"com.ldm.custom.swaggerapiv2.EndpointParameter","Google_Abusive_Experience_Report/violatingSites/_GET___v1_violatingSites","Google_Abusive_Experience_Report/violatingSites/_GET___v1_violatingSites/alt"
"com.ldm.custom.swaggerapiv2.EndpointParameter","Google_Abusive_Experience_Report/violatingSites/_GET___v1_violatingSites","Google_Abusive_Experience_Report/violatingSites/_GET___v1_violatingSites/bearer_token"
"com.ldm.custom.swaggerapiv2.EndpointParameter","Google_Abusive_Experience_Report/violatingSites/_GET___v1_violatingSites","Google_Abusive_Experience_Report/violatingSites/_GET___v1_violatingSites/callback"
"com.ldm.custom.swaggerapiv2.EndpointParameter","Google_Abusive_Experience_Report/violatingSites/_GET___v1_violatingSites","Google_Abusive_Experience_Report/violatingSites/_GET___v1_violatingSites/fields"
"com.ldm.custom.swaggerapiv2.EndpointParameter","Google_Abusive_Experience_Report/violatingSites/_GET___v1_violatingSites","Google_Abusive_Experience_Report/violatingSites/_GET___v1_violatingSites/key"
"com.ldm.custom.swaggerapiv2.EndpointParameter","Google_Abusive_Experience_Report/violatingSites/_GET___v1_violatingSites","Google_Abusive_Experience_Report/violatingSites/_GET___v1_violatingSites/oauth_token"
"com.ldm.custom.swaggerapiv2.EndpointParameter","Google_Abusive_Experience_Report/violatingSites/_GET___v1_violatingSites","Google_Abusive_Experience_Report/violatingSites/_GET___v1_violatingSites/pp"
"com.ldm.custom.swaggerapiv2.EndpointParameter","Google_Abusive_Experience_Report/violatingSites/_GET___v1_violatingSites","Google_Abusive_Experience_Report/violatingSites/_GET___v1_violatingSites/prettyPrint"
"com.ldm.custom.swaggerapiv2.EndpointParameter","Google_Abusive_Experience_Report/violatingSites/_GET___v1_violatingSites","Google_Abusive_Experience_Report/violatingSites/_GET___v1_violatingSites/quotaUser"
"com.ldm.custom.swaggerapiv2.EndpointParameter","Google_Abusive_Experience_Report/violatingSites/_GET___v1_violatingSites","Google_Abusive_Experience_Report/violatingSites/_GET___v1_violatingSites/uploadType"
"com.ldm.custom.swaggerapiv2.EndpointParameter","Google_Abusive_Experience_Report/violatingSites/_GET___v1_violatingSites","Google_Abusive_Experience_Report/violatingSites/_GET___v1_violatingSites/upload_protocol"
"com.ldm.custom.swaggerapiv2.EndpointResponse","Google_Abusive_Experience_Report/violatingSites/_GET___v1_violatingSites","Google_Abusive_Experience_Report/violatingSites/_GET___v1_violatingSites/200"
"com.ldm.custom.swaggerapiv2.TagEndpoint","Google_Abusive_Experience_Report/sites","Google_Abusive_Experience_Report/sites/_GET___v1__name_"
"com.ldm.custom.swaggerapiv2.EndpointParameter","Google_Abusive_Experience_Report/sites/_GET___v1__name_","Google_Abusive_Experience_Report/sites/_GET___v1__name_/$.xgafv"
"com.ldm.custom.swaggerapiv2.EndpointParameter","Google_Abusive_Experience_Report/sites/_GET___v1__name_","Google_Abusive_Experience_Report/sites/_GET___v1__name_/access_token"
"com.ldm.custom.swaggerapiv2.EndpointParameter","Google_Abusive_Experience_Report/sites/_GET___v1__name_","Google_Abusive_Experience_Report/sites/_GET___v1__name_/alt"
"com.ldm.custom.swaggerapiv2.EndpointParameter","Google_Abusive_Experience_Report/sites/_GET___v1__name_","Google_Abusive_Experience_Report/sites/_GET___v1__name_/bearer_token"
"com.ldm.custom.swaggerapiv2.EndpointParameter","Google_Abusive_Experience_Report/sites/_GET___v1__name_","Google_Abusive_Experience_Report/sites/_GET___v1__name_/callback"
"com.ldm.custom.swaggerapiv2.EndpointParameter","Google_Abusive_Experience_Report/sites/_GET___v1__name_","Google_Abusive_Experience_Report/sites/_GET___v1__name_/fields"
"com.ldm.custom.swaggerapiv2.EndpointParameter","Google_Abusive_Experience_Report/sites/_GET___v1__name_","Google_Abusive_Experience_Report/sites/_GET___v1__name_/key"
"com.ldm.custom.swaggerapiv2.EndpointParameter","Google_Abusive_Experience_Report/sites/_GET___v1__name_","Google_Abusive_Experience_Report/sites/_GET___v1__name_/oauth_token"
"com.ldm.custom.swaggerapiv2.EndpointParameter","Google_Abusive_Experience_Report/sites/_GET___v1__name_","Google_Abusive_Experience_Report/sites/_GET___v1__name_/pp"
"com.ldm.custom.swaggerapiv2.EndpointParameter","Google_Abusive_Experience_Report/sites/_GET___v1__name_","Google_Abusive_Experience_Report/sites/_GET___v1__name_/prettyPrint"
"com.ldm.custom.swaggerapiv2.EndpointParameter","Google_Abusive_Experience_Report/sites/_GET___v1__name_","Google_Abusive_Experience_Report/sites/_GET___v1__name_/quotaUser"
"com.ldm.custom.swaggerapiv2.EndpointParameter","Google_Abusive_Experience_Report/sites/_GET___v1__name_","Google_Abusive_Experience_Report/sites/_GET___v1__name_/uploadType"
"com.ldm.custom.swaggerapiv2.EndpointParameter","Google_Abusive_Experience_Report/sites/_GET___v1__name_","Google_Abusive_Experience_Report/sites/_GET___v1__name_/upload_protocol"
"com.ldm.custom.swaggerapiv2.EndpointParameter","Google_Abusive_Experience_Report/sites/_GET___v1__name_","Google_Abusive_Experience_Report/sites/_GET___v1__name_/name"
"com.ldm.custom.swaggerapiv2.EndpointResponse","Google_Abusive_Experience_Report/sites/_GET___v1__name_","Google_Abusive_Experience_Report/sites/_GET___v1__name_/200"
"com.ldm.custom.swaggerapiv2.SwaggerInfoTag","Google_Abusive_Experience_Report","Google_Abusive_Experience_Report/sites"
"com.ldm.custom.swaggerapiv2.SwaggerInfoTag","Google_Abusive_Experience_Report","Google_Abusive_Experience_Report/violatingSites"
