"class","identity","core.name","core.description","com.ldm.custom.swaggerapiv2.in","com.ldm.custom.swaggerapiv2.required","com.ldm.custom.swaggerapiv2.type"
"com.ldm.custom.swaggerapiv2.Parameter","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_dataTypes/id","id",,"query","false","array"
"com.ldm.custom.swaggerapiv2.Parameter","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_dataTypes/offset","offset","Starting from result","query","false","number"
"com.ldm.custom.swaggerapiv2.Parameter","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_dataTypes/pageSize","pageSize","Results per page","query","false","number"
"com.ldm.custom.swaggerapiv2.Parameter","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_dataTypes__id_/id","id",,"path","true","string"
"com.ldm.custom.swaggerapiv2.Parameter","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_associations/id","id",,"query","false","array"
"com.ldm.custom.swaggerapiv2.Parameter","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_associations/offset","offset","Starting from result","query","false","number"
"com.ldm.custom.swaggerapiv2.Parameter","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_associations/pageSize","pageSize","Results per page","query","false","number"
"com.ldm.custom.swaggerapiv2.Parameter","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_associations/isA","isA","Return associations that inherit the given association kinds","query","false","array"
"com.ldm.custom.swaggerapiv2.Parameter","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_associations__id_/id","id",,"path","true","string"
"com.ldm.custom.swaggerapiv2.Parameter","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_associationKinds/id","id",,"query","false","array"
"com.ldm.custom.swaggerapiv2.Parameter","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_associationKinds/offset","offset","Starting from result","query","false","number"
"com.ldm.custom.swaggerapiv2.Parameter","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_associationKinds/pageSize","pageSize","Results per page","query","false","number"
"com.ldm.custom.swaggerapiv2.Parameter","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_associationKinds__id_/id","id",,"path","true","string"
"com.ldm.custom.swaggerapiv2.Parameter","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_classes/id","id",,"query","false","array"
"com.ldm.custom.swaggerapiv2.Parameter","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_classes/offset","offset","Starting from result","query","false","number"
"com.ldm.custom.swaggerapiv2.Parameter","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_classes/pageSize","pageSize","Results per page","query","false","number"
"com.ldm.custom.swaggerapiv2.Parameter","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_classes/isA","isA","Return classes that inherit from the given classes","query","false","array"
"com.ldm.custom.swaggerapiv2.Parameter","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_classes__id_/id","id",,"path","true","string"
"com.ldm.custom.swaggerapiv2.Parameter","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_referenceDataTypes/id","id",,"query","false","array"
"com.ldm.custom.swaggerapiv2.Parameter","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_referenceDataTypes/offset","offset","Starting from result","query","false","number"
"com.ldm.custom.swaggerapiv2.Parameter","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_referenceDataTypes/pageSize","pageSize","Results per page","query","false","number"
"com.ldm.custom.swaggerapiv2.Parameter","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_referenceDataTypes__id_/id","id",,"path","true","string"
"com.ldm.custom.swaggerapiv2.Parameter","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_referenceAttributes/id","id",,"query","false","array"
"com.ldm.custom.swaggerapiv2.Parameter","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_referenceAttributes/classId","classId","Filter attributes by class they may apply to","query","false","array"
"com.ldm.custom.swaggerapiv2.Parameter","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_referenceAttributes/offset","offset","Starting from result","query","false","number"
"com.ldm.custom.swaggerapiv2.Parameter","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_referenceAttributes/pageSize","pageSize","Results per page","query","false","number"
"com.ldm.custom.swaggerapiv2.Parameter","Catalog_Administrator_Public_REST_API/Model_Modification/_PUT___catalog_models_referenceAttributes__id_/id","id",,"path","true","string"
