"class","identity","core.name","core.description"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_dataTypes/200","200","List of data types"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_dataTypes/400","400","Missing or invalid parameter"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_dataTypes/401","401","Missing credentials"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_dataTypes/403","403","User does not have access permission"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_dataTypes/429","429","Rate limit for requests"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_dataTypes/default","default","Unexpected error"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_dataTypes__id_/200","200","Data type"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_dataTypes__id_/401","401","Missing credentials"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_dataTypes__id_/403","403","User does not have access permission"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_dataTypes__id_/404","404","Requested object not found"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_dataTypes__id_/429","429","Rate limit for requests"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_dataTypes__id_/default","default","Unexpected error"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_associations/200","200","List of associations"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_associations/400","400","Missing or invalid parameter"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_associations/401","401","Missing credentials"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_associations/403","403","User does not have access permission"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_associations/429","429","Rate limit for requests"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_associations/default","default","Unexpected error"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_associations__id_/200","200","Association"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_associations__id_/401","401","Missing credentials"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_associations__id_/403","403","User does not have access permission"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_associations__id_/404","404","Requested object not found"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_associations__id_/429","429","Rate limit for requests"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_associations__id_/default","default","Unexpected error"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_associationKinds/200","200","List of association kinds"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_associationKinds/400","400","Missing or invalid parameter"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_associationKinds/401","401","Missing credentials"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_associationKinds/403","403","User does not have access permission"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_associationKinds/429","429","Rate limit for requests"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_associationKinds/default","default","Unexpected error"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_associationKinds__id_/200","200","Association kind"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_associationKinds__id_/401","401","Missing credentials"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_associationKinds__id_/403","403","User does not have access permission"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_associationKinds__id_/404","404","Requested object not found"
"com.ldm.custom.swaggerapiv2.Response","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_associationKinds__id_/429","429","Rate limit for requests"
