"association","fromObjectIdentity","toObjectIdentity"
"com.ldm.custom.swaggerapiv2.TagEndpoint","Catalog_Administrator_Public_REST_API/Catalog","Catalog_Administrator_Public_REST_API/Catalog/_GET___catalog_models_dataTypes"
"com.ldm.custom.swaggerapiv2.TagEndpoint","Catalog_Administrator_Public_REST_API/Model_Info","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_dataTypes"
"com.ldm.custom.swaggerapiv2.EndpointParameter","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_dataTypes","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_dataTypes/id"
"com.ldm.custom.swaggerapiv2.EndpointParameter","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_dataTypes","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_dataTypes/offset"
"com.ldm.custom.swaggerapiv2.EndpointParameter","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_dataTypes","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_dataTypes/pageSize"
"com.ldm.custom.swaggerapiv2.EndpointResponse","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_dataTypes","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_dataTypes/200"
"com.ldm.custom.swaggerapiv2.EndpointResponse","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_dataTypes","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_dataTypes/400"
"com.ldm.custom.swaggerapiv2.EndpointResponse","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_dataTypes","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_dataTypes/401"
"com.ldm.custom.swaggerapiv2.EndpointResponse","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_dataTypes","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_dataTypes/403"
"com.ldm.custom.swaggerapiv2.EndpointResponse","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_dataTypes","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_dataTypes/429"
"com.ldm.custom.swaggerapiv2.EndpointResponse","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_dataTypes","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_dataTypes/default"
"com.ldm.custom.swaggerapiv2.TagEndpoint","Catalog_Administrator_Public_REST_API/Catalog","Catalog_Administrator_Public_REST_API/Catalog/_GET___catalog_models_dataTypes__id_"
"com.ldm.custom.swaggerapiv2.TagEndpoint","Catalog_Administrator_Public_REST_API/Model_Info","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_dataTypes__id_"
"com.ldm.custom.swaggerapiv2.EndpointParameter","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_dataTypes__id_","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_dataTypes__id_/id"
"com.ldm.custom.swaggerapiv2.EndpointResponse","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_dataTypes__id_","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_dataTypes__id_/200"
"com.ldm.custom.swaggerapiv2.EndpointResponse","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_dataTypes__id_","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_dataTypes__id_/401"
"com.ldm.custom.swaggerapiv2.EndpointResponse","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_dataTypes__id_","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_dataTypes__id_/403"
"com.ldm.custom.swaggerapiv2.EndpointResponse","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_dataTypes__id_","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_dataTypes__id_/404"
"com.ldm.custom.swaggerapiv2.EndpointResponse","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_dataTypes__id_","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_dataTypes__id_/429"
"com.ldm.custom.swaggerapiv2.EndpointResponse","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_dataTypes__id_","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_dataTypes__id_/default"
"com.ldm.custom.swaggerapiv2.TagEndpoint","Catalog_Administrator_Public_REST_API/Catalog","Catalog_Administrator_Public_REST_API/Catalog/_GET___catalog_models_associations"
"com.ldm.custom.swaggerapiv2.TagEndpoint","Catalog_Administrator_Public_REST_API/Model_Info","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_associations"
"com.ldm.custom.swaggerapiv2.EndpointParameter","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_associations","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_associations/id"
"com.ldm.custom.swaggerapiv2.EndpointParameter","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_associations","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_associations/offset"
"com.ldm.custom.swaggerapiv2.EndpointParameter","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_associations","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_associations/pageSize"
"com.ldm.custom.swaggerapiv2.EndpointParameter","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_associations","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_associations/isA"
"com.ldm.custom.swaggerapiv2.EndpointResponse","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_associations","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_associations/200"
"com.ldm.custom.swaggerapiv2.EndpointResponse","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_associations","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_associations/400"
"com.ldm.custom.swaggerapiv2.EndpointResponse","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_associations","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_associations/401"
"com.ldm.custom.swaggerapiv2.EndpointResponse","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_associations","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_associations/403"
"com.ldm.custom.swaggerapiv2.EndpointResponse","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_associations","Catalog_Administrator_Public_REST_API/Model_Info/_GET___catalog_models_associations/429"
